#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2026-01-09, 14:35:14
# Real time (s): 11823.350
# Live time (s): 11028.830
#
# Total counts:  59919795
#
# Left marker:  20 (4.751 keV)
# Right marker: 50 (12.067 keV)
# Counts:       1129086
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: -0.126274
#     A1: 0.243864
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy(keV)	counts	rate(1/s)
#-----------------------------------------------------------------------
375	91.323	8323	0.754658
376	91.567	8345	0.756653
377	91.811	8340	0.7562
378	92.055	8292	0.751848
379	92.298	8514	0.771977
380	92.542	8348	0.756925
381	92.786	8311	0.75357
382	93.030	8281	0.75085
383	93.274	8326	0.75493
384	93.518	8277	0.750488
385	93.762	8104	0.734801
386	94.005	8153	0.739244
387	94.249	8038	0.728817
388	94.493	8064	0.731175
389	94.737	7898	0.716123
390	94.981	7990	0.724465
391	95.225	7901	0.716395
392	95.469	8002	0.725553
393	95.712	7922	0.718299
394	95.956	8086	0.733169
395	96.200	7956	0.721382
396	96.444	7924	0.718481
397	96.688	7963	0.722017
398	96.932	7840	0.710864
399	97.176	8008	0.726097
400	97.420	7892	0.715579
401	97.663	7878	0.71431
402	97.907	7749	0.702613
403	98.151	7880	0.714491
404	98.395	7870	0.713584
405	98.639	7896	0.715942
406	98.883	7963	0.722017
407	99.127	8021	0.727276
408	99.370	7825	0.709504
409	99.614	7964	0.722107
410	99.858	8054	0.730268
411	100.102	8158	0.739698
412	100.346	8017	0.726913
413	100.590	8131	0.73725
414	100.834	8346	0.756744
415	101.077	8278	0.750578
416	101.321	8375	0.759373
417	101.565	8356	0.757651
418	101.809	8475	0.768441
419	102.053	8508	0.771433
420	102.297	8513	0.771886
421	102.541	8679	0.786938
422	102.785	8596	0.779412
423	103.028	8456	0.766718
424	103.272	8273	0.750125
425	103.516	8414	0.76291
426	103.760	8193	0.742871
427	104.004	8277	0.750488
428	104.248	8165	0.740332
429	104.492	7990	0.724465
430	104.735	8025	0.727638
431	104.979	7919	0.718027
432	105.223	7991	0.724556
433	105.467	8060	0.730812
434	105.711	7984	0.723921
435	105.955	7836	0.710501
