#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2025-12-17, 10:49:09
# Real time (s): 12351.430
# Live time (s): 12032.110
#
# Total counts:  23907440
#
# Left marker:  20 (4.751 keV)
# Right marker: 50 (12.067 keV)
# Counts:       455452
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: -0.126274
#     A1: 0.243864
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy(keV)	counts	rate(1/s)
#-----------------------------------------------------------------------
411	100.102	3840	0.319146
412	100.346	3956	0.328787
413	100.590	3956	0.328787
414	100.834	3975	0.330366
415	101.077	3858	0.320642
416	101.321	4042	0.335934
417	101.565	4074	0.338594
418	101.809	3961	0.329202
419	102.053	4081	0.339176
420	102.297	4084	0.339425
421	102.541	4049	0.336516
422	102.785	4068	0.338095
423	103.028	3967	0.329701
424	103.272	4126	0.342916
425	103.516	4095	0.340339
426	103.760	3939	0.327374
427	104.004	3920	0.325795
428	104.248	3837	0.318897
429	104.492	3810	0.316653
430	104.735	3777	0.31391
431	104.979	3867	0.32139
432	105.223	3656	0.303854
433	105.467	3733	0.310253
434	105.711	3686	0.306347
435	105.955	3752	0.311832
436	106.199	3732	0.31017
437	106.443	3595	0.298784
438	106.686	3719	0.30909
439	106.930	3727	0.309754
440	107.174	3681	0.305931
441	107.418	3671	0.3051
442	107.662	3705	0.307926
443	107.906	3628	0.301526
444	108.150	3535	0.293797
445	108.393	3627	0.301443
446	108.637	3598	0.299033
447	108.881	3613	0.30028
448	109.125	3638	0.302358
449	109.369	3712	0.308508
450	109.613	3844	0.319478
451	109.857	3724	0.309505
452	110.100	3867	0.32139
453	110.344	3951	0.328371
454	110.588	3895	0.323717
455	110.832	3997	0.332194
456	111.076	4084	0.339425
457	111.320	4287	0.356297
458	111.564	4493	0.373417
459	111.808	4826	0.401093
460	112.051	4757	0.395359
461	112.295	4696	0.390289
462	112.539	4415	0.366935
463	112.783	4169	0.34649
464	113.027	3858	0.320642
465	113.271	3784	0.314492
466	113.515	3538	0.294047
467	113.758	3468	0.288229
468	114.002	3469	0.288312
469	114.246	3455	0.287148
470	114.490	3531	0.293465
471	114.734	3597	0.29895
472	114.978	3506	0.291387
473	115.222	3536	0.29388
474	115.465	3599	0.299116
475	115.709	3540	0.294213
476	115.953	3606	0.299698
477	116.197	3716	0.30884
478	116.441	3596	0.298867
479	116.685	3629	0.30161
480	116.929	3540	0.294213
481	117.173	3391	0.281829
482	117.416	3483	0.289475
483	117.660	3482	0.289392
484	117.904	3447	0.286483
485	118.148	3329	0.276676
486	118.392	3406	0.283076
487	118.636	3410	0.283408
488	118.880	3368	0.279918
489	119.123	3362	0.279419
490	119.367	3370	0.280084
491	119.611	3373	0.280333
492	119.855	3383	0.281164
493	120.099	3652	0.303521
494	120.343	4099	0.340672
495	120.587	5573	0.463177
496	120.831	9459	0.786146
497	121.074	17744	1.47472
498	121.318	32088	2.66686
499	121.562	52485	4.36208
500	121.806	75042	6.23681
501	122.050	93318	7.75575
502	122.294	99020	8.22965
503	122.538	90236	7.4996
504	122.781	71209	5.91825
505	123.025	47545	3.95151
506	123.269	28441	2.36376
507	123.513	15400	1.27991
508	123.757	8004	0.66522
509	124.001	4766	0.396107
510	124.245	3625	0.301277
511	124.488	3048	0.253322
512	124.732	3065	0.254735
513	124.976	2949	0.245094
514	125.220	2962	0.246175
515	125.464	2988	0.248335
516	125.708	2983	0.24792
517	125.952	3009	0.250081
518	126.196	2986	0.248169
