#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2025-12-18, 14:04:24
# Real time (s): 78365.930
# Live time (s): 77359.070
#
# Total counts:  73932277
#
# Left marker:  20 (4.751 keV)
# Right marker: 50 (12.067 keV)
# Counts:       1403125
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: -0.126274
#     A1: 0.243864
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy(keV)	counts	rate(1/s)
#-----------------------------------------------------------------------
638	155.459	10796	0.139557
639	155.703	10768	0.139195
640	155.947	10796	0.139557
641	156.191	10820	0.139867
642	156.435	10727	0.138665
643	156.679	10579	0.136752
644	156.922	10594	0.136946
645	157.166	10629	0.137398
646	157.410	10582	0.136791
647	157.654	10564	0.136558
648	157.898	10581	0.136778
649	158.142	10687	0.138148
650	158.386	10667	0.137889
651	158.630	10657	0.13776
652	158.873	10512	0.135886
653	159.117	10399	0.134425
654	159.361	10624	0.137334
655	159.605	10636	0.137489
656	159.849	10902	0.140927
657	160.093	11349	0.146705
658	160.337	11915	0.154022
659	160.580	12197	0.157667
660	160.824	12461	0.16108
661	161.068	12426	0.160628
662	161.312	12039	0.155625
663	161.556	11486	0.148476
664	161.800	10873	0.140552
665	162.044	10664	0.137851
666	162.287	10423	0.134735
667	162.531	10204	0.131904
668	162.775	10306	0.133223
669	163.019	10147	0.131168
670	163.263	10075	0.130237
671	163.507	10239	0.132357
672	163.751	10385	0.134244
673	163.995	11004	0.142246
674	164.238	11817	0.152755
675	164.482	16585	0.21439
676	164.726	26128	0.33775
677	164.970	44744	0.578394
678	165.214	76896	0.994014
679	165.458	118990	1.53815
680	165.702	162532	2.10101
681	165.945	192762	2.49178
682	166.189	198639	2.56775
683	166.433	177556	2.29522
684	166.677	136346	1.76251
685	166.921	91359	1.18097
686	167.165	55406	0.716219
687	167.409	31389	0.405757
688	167.652	18412	0.238007
689	167.896	12632	0.16329
690	168.140	10470	0.135343
691	168.384	9984	0.12906
692	168.628	9595	0.124032
693	168.872	9567	0.12367
694	169.116	9515	0.122998
695	169.360	9631	0.124497
696	169.603	9573	0.123748
697	169.847	9738	0.125881
698	170.091	9840	0.127199
699	170.335	9681	0.125144
700	170.579	10025	0.12959
701	170.823	9809	0.126798
702	171.067	9843	0.127238
703	171.310	9804	0.126734
704	171.554	9970	0.12888
705	171.798	9885	0.127781
706	172.042	9909	0.128091
707	172.286	9916	0.128181
708	172.530	10196	0.131801
709	172.774	10076	0.13025
710	173.018	10002	0.129293
711	173.261	9939	0.128479
712	173.505	10221	0.132124
713	173.749	9984	0.12906
714	173.993	10061	0.130056
715	174.237	10155	0.131271
716	174.481	10112	0.130715
717	174.725	10102	0.130586
718	174.968	10233	0.132279
719	175.212	10212	0.132008
720	175.456	10174	0.131517
721	175.700	10023	0.129565
722	175.944	10253	0.132538
723	176.188	10039	0.129771
724	176.432	10034	0.129707
725	176.675	10147	0.131168
726	176.919	10129	0.130935
727	177.163	10073	0.130211
728	177.407	10317	0.133365
729	177.651	10186	0.131672
730	177.895	10016	0.129474
731	178.139	10072	0.130198
732	178.383	9947	0.128582
733	178.626	10111	0.130702
734	178.870	10064	0.130095
735	179.114	10126	0.130896
736	179.358	10019	0.129513
737	179.602	10222	0.132137
738	179.846	10110	0.130689
739	180.090	9945	0.128556
740	180.333	10041	0.129797
741	180.577	10070	0.130172
742	180.821	9948	0.128595
743	181.065	10212	0.132008
744	181.309	10026	0.129603
745	181.553	9733	0.125816
746	181.797	9985	0.129073
747	182.041	9937	0.128453
748	182.284	9595	0.124032
749	182.528	9850	0.127328
750	182.772	9820	0.126941
751	183.016	9922	0.128259
752	183.260	9758	0.126139
753	183.504	9829	0.127057
754	183.748	9858	0.127432
755	183.991	10017	0.129487
756	184.235	9936	0.12844
757	184.479	9764	0.126217
758	184.723	9961	0.128763
759	184.967	9939	0.128479
760	185.211	9783	0.126462
761	185.455	9881	0.127729
762	185.698	9867	0.127548
763	185.942	9771	0.126307
764	186.186	10037	0.129746
765	186.430	9894	0.127897
766	186.674	9940	0.128492
767	186.918	10097	0.130521
768	187.162	9870	0.127587
769	187.406	9859	0.127445
770	187.649	9697	0.125351
771	187.893	9939	0.128479
772	188.137	10032	0.129681
773	188.381	9785	0.126488
774	188.625	10051	0.129927
775	188.869	9984	0.12906
776	189.113	9868	0.127561
777	189.356	9853	0.127367
778	189.600	9674	0.125053
779	189.844	9669	0.124989
780	190.088	9701	0.125402
781	190.332	9692	0.125286
782	190.576	9529	0.123179
783	190.820	9687	0.125221
784	191.063	9866	0.127535
785	191.307	9795	0.126617
786	191.551	9489	0.122662
787	191.795	9695	0.125325
788	192.039	9705	0.125454
789	192.283	9578	0.123812
790	192.527	9729	0.125764
791	192.771	9507	0.122894
792	193.014	9814	0.126863
793	193.258	9675	0.125066
794	193.502	9593	0.124006
795	193.746	9664	0.124924
796	193.990	9622	0.124381
797	194.234	9524	0.123114
798	194.478	9527	0.123153
799	194.721	9682	0.125157
800	194.965	9372	0.121149
801	195.209	9669	0.124989
802	195.453	9454	0.122209
803	195.697	9614	0.124278
804	195.941	9712	0.125544
805	196.185	9758	0.126139
806	196.429	9791	0.126566
807	196.672	9682	0.125157
808	196.916	9656	0.124821
809	197.160	9622	0.124381
810	197.404	9680	0.125131
811	197.648	9741	0.125919
812	197.892	9756	0.126113
813	198.136	10019	0.129513
814	198.379	10117	0.13078
815	198.623	10476	0.13542
816	198.867	10883	0.140682
817	199.111	11157	0.144224
818	199.355	11369	0.146964
819	199.599	11368	0.146951
820	199.843	11183	0.14456
821	200.086	10497	0.135692
822	200.330	10343	0.133701
823	200.574	10215	0.132047
824	200.818	9816	0.126889
825	201.062	9599	0.124084
826	201.306	9721	0.125661
827	201.550	9686	0.125208
828	201.794	9802	0.126708
829	202.037	9558	0.123554
830	202.281	9732	0.125803
831	202.525	9612	0.124252
832	202.769	9704	0.125441
833	203.013	9553	0.123489
834	203.257	9858	0.127432
835	203.501	10022	0.129552
836	203.744	9899	0.127962
837	203.988	9895	0.12791
838	204.232	9945	0.128556
839	204.476	9871	0.1276
840	204.720	9774	0.126346
841	204.964	9756	0.126113
842	205.208	9729	0.125764
843	205.451	9639	0.124601
844	205.695	9560	0.12358
845	205.939	9334	0.120658
846	206.183	9571	0.123722
847	206.427	9588	0.123942
848	206.671	9363	0.121033
849	206.915	9556	0.123528
850	207.159	9322	0.120503
851	207.402	9143	0.118189
852	207.646	9252	0.119598
853	207.890	9222	0.11921
854	208.134	9060	0.117116
855	208.378	9195	0.118861
856	208.622	9176	0.118616
857	208.866	9004	0.116392
858	209.109	9304	0.12027
859	209.353	9126	0.117969
860	209.597	9180	0.118667
861	209.841	9209	0.119042
862	210.085	9036	0.116806
863	210.329	8983	0.116121
864	210.573	8898	0.115022
865	210.817	8959	0.115811
866	211.060	9010	0.11647
867	211.304	8969	0.11594
868	211.548	9142	0.118176
869	211.792	8876	0.114738
870	212.036	9016	0.116547
871	212.280	9000	0.116341
872	212.524	8983	0.116121
873	212.767	9017	0.11656
874	213.011	8885	0.114854
875	213.255	9024	0.116651
876	213.499	8946	0.115643
877	213.743	8946	0.115643
878	213.987	8823	0.114053
879	214.231	8998	0.116315
880	214.474	8757	0.113199
881	214.718	8869	0.114647
882	214.962	8793	0.113665
883	215.206	8766	0.113316
884	215.450	8885	0.114854
885	215.694	8930	0.115436
886	215.938	8910	0.115177
887	216.182	8824	0.114065
888	216.425	9116	0.11784
889	216.669	8914	0.115229
890	216.913	8791	0.113639
891	217.157	8878	0.114764
892	217.401	8688	0.112307
893	217.645	8760	0.113238
894	217.889	8791	0.113639
895	218.132	8801	0.113768
896	218.376	8826	0.114091
897	218.620	8844	0.114324
898	218.864	8829	0.11413
899	219.108	8622	0.111454
900	219.352	8657	0.111907
901	219.596	8678	0.112178
902	219.839	8677	0.112165
903	220.083	8605	0.111235
904	220.327	8520	0.110136
905	220.571	8704	0.112514
906	220.815	8598	0.111144
907	221.059	8731	0.112863
908	221.303	8642	0.111713
909	221.547	8679	0.112191
910	221.790	8458	0.109334
911	222.034	8631	0.111571
912	222.278	8621	0.111441
913	222.522	8877	0.114751
914	222.766	9059	0.117103
915	223.010	9181	0.11868
916	223.254	9435	0.121964
917	223.497	9456	0.122235
